latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
-16.17958,135.03635,352.03,1.41,1.18,2023-10-06,0035,T,95,6.1NRT,304.77,91.82,D
-16.18168,135.04918,336.26,1.41,1.17,2023-10-06,0035,T,68,6.1NRT,306.47,39.87,D
-16.19002,135.03461,321.28,1.41,1.18,2023-10-06,0035,T,38,6.1NRT,302.5,13.7,D
-16.19211,135.04739,323.98,1.41,1.17,2023-10-06,0035,T,20,6.1NRT,304.21,15.18,D
-16.23577,135.11909,345.3,1.39,1.17,2023-10-06,0035,T,91,6.1NRT,307.11,64.6,D
-16.24409,135.10455,328.91,1.39,1.17,2023-10-06,0035,T,53,6.1NRT,304.02,22.1,D
-16.24819,135.13016,326.24,1.39,1.17,2023-10-06,0035,T,42,6.1NRT,305.29,18.42,D
-16.23962,135.09921,331.1,1.39,1.17,2023-10-06,0035,T,54,6.1NRT,304.54,25.49,D
-16.24175,135.11195,330.14,1.39,1.17,2023-10-06,0035,T,46,6.1NRT,305.14,22.74,D
-16.2688,135.14665,329.25,1.38,1.16,2023-10-06,0035,T,76,6.1NRT,304.49,24.3,D
-16.23633,134.88571,322.85,1.44,1.19,2023-10-06,0035,T,51,6.1NRT,304.42,12.43,D
-16.23852,134.89893,395.77,1.44,1.19,2023-10-06,0035,T,100,6.1NRT,311.25,366.18,D
-16.2407,134.91211,406.73,1.43,1.18,2023-10-06,0035,T,100,6.1NRT,313.69,477.85,D
-16.28119,135.15736,326.08,1.38,1.16,2023-10-06,0035,T,40,6.1NRT,304.71,16.36,D
-16.24903,134.89706,393.01,1.44,1.19,2023-10-06,0035,T,100,6.1NRT,308.45,341.65,D
-16.25121,134.91028,393.79,1.43,1.18,2023-10-06,0035,T,100,6.1NRT,309.53,347.31,D
-16.29152,135.15562,353.81,1.38,1.16,2023-10-06,0035,T,96,6.1NRT,305.32,90.13,D
-16.29357,135.16817,381.87,1.38,1.16,2023-10-06,0035,T,100,6.1NRT,310.33,233.93,D
-16.29563,135.18074,333.09,1.37,1.16,2023-10-06,0035,T,48,6.1NRT,306.2,28.73,D
-16.30593,135.17894,336.65,1.37,1.16,2023-10-06,0035,T,84,6.1NRT,306.37,36.83,D
-16.28293,134.97224,332.44,1.42,1.18,2023-10-06,0035,T,80,6.1NRT,306.26,29.75,D
-16.28505,134.98526,326.94,1.42,1.18,2023-10-06,0035,T,72,6.1NRT,306.81,18.05,D
-15.59502,130.72594,330.56,3.02,1.65,2023-10-06,0035,T,61,6.1NRT,298.28,91.83,D
-15.59482,130.71841,325.62,3.02,1.65,2023-10-06,0035,T,66,6.1NRT,297.95,65.8,D
